Total Population,id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over,Male - 5 to 14 years,Male - 15 to 17 years,Male - Under 18 years,Male - 18 to 24 years,Male - 15 to 44 years,Male - 16 years and over,Male - 18 years and over,Male - 21 years and over,Male - 60 years and over,Male - 62 years and over,Male - 65 years and over,Male - 75 years and over,Female - Male - 5 to 14 years,Female - Male - 15 to 17 years,Female - Male - Under 18 years,Female - Male - 18 to 24 years,Female - Male - 15 to 44 years,Female - Male - 16 years and over,Female - Male - 18 years and over,Female - Male - 21 years and over,Female - Male - 60 years and over,Female - Male - 62 years and over,Female - Male - 65 years and over,Female - Male - 75 years and over
69410,0500000US13295,"Walker County, Georgia",8328,2670,14990,6116,25047,56555,54420,51812,17857,15631,13093,5768,4606,1387,8199,3515,12760,27953,26768,25115,8087,6820,5845,2340,3722,1283,6791,2601,12287,28602,27652,26697,9770,8811,7248,3428
597555,0500000US20091,"Johnson County, Kansas",82394,25459,145641,47374,238259,469526,451914,434695,123222,108288,86524,33888,42040,12962,74870,23918,119894,228806,219214,209690,55486,48529,38219,13816,40354,12497,70771,23456,118365,240720,232700,225005,67736,59759,48305,20072
1614714,0500000US25017,"Middlesex County, Massachusetts",176754,56236,318633,161070,680578,1335097,1296081,1230238,344801,303846,246060,106931,90360,28851,162943,80983,342183,647939,627394,593462,153590,133194,106491,42567,86394,27385,155690,80087,338395,687158,668687,636776,191211,170652,139569,64364
807252,0500000US25025,"Suffolk County, Massachusetts",70309,21574,133658,110550,425297,688543,673594,623073,136676,118570,96952,40443,35612,10933,67700,52620,209146,330744,322762,299733,59203,50928,41061,15219,34697,10641,65958,57930,216151,357799,350832,323340,77473,67642,55891,25224
92573,0500000US26055,"Grand Traverse County, Michigan",11001,3298,18916,6523,32426,75878,73657,70560,25248,22595,18378,7210,5838,1746,10166,3361,16563,37047,35975,34194,11678,10343,8362,2872,5163,1552,8750,3162,15863,38831,37682,36366,13570,12252,10016,4338
199754,0500000US27137,"St. Louis County, Minnesota",21481,6511,38011,25363,77113,165951,161743,149316,53978,47481,38593,16255,10809,3375,19417,13157,39660,82569,80420,74242,25375,21876,17791,6576,10672,3136,18594,12206,37453,83382,81323,75074,28603,25605,20802,9679
184459,0500000US31153,"Sarpy County, Nebraska",28658,8323,50553,16183,77119,140146,133906,127053,31617,27032,22169,8771,14487,4392,25645,8583,39471,70221,66697,63030,14897,12465,10015,3752,14171,3931,24908,7600,37648,69925,67209,64023,16720,14567,12154,5019
415247,0500000US33011,"Hillsborough County, New Hampshire",47813,15780,84981,36361,159203,340143,330266,316242,94446,80841,64850,26622,24237,8034,42811,18708,81325,167521,162853,156102,43075,37117,29087,10536,23576,7746,42170,17653,77878,172622,167413,160140,51371,43724,35763,16086
676061,0500000US34017,"Hudson County, New Jersey",71736,19560,138221,53803,323112,550007,537840,517593,116561,101555,79918,34311,36364,9392,69807,28198,166910,271852,266290,255093,51798,43423,33361,13061,35372,10168,68414,25605,156202,278155,271550,262500,64763,58132,46557,21250
211342,0500000US37025,"Cabarrus County, North Carolina",30603,10029,54217,16601,83416,164370,157125,149782,38515,34612,28208,11323,16209,5241,28954,8333,41079,78236,74605,71141,16802,15160,12054,4690,14394,4788,25263,8268,42337,86134,82520,78641,21713,19452,16154,6633
95273,0500000US38015,"Burleigh County, North Dakota",12132,3174,21684,9497,38576,75865,73589,69261,20530,18123,15157,6717,6339,1583,11428,5031,20467,38051,36777,34507,9322,7958,6761,2693,5793,1591,10256,4466,18109,37814,36812,34754,11208,10165,8396,4024
230514,0500000US39085,"Lake County, Ohio",26281,9015,46210,17182,79990,190883,184304,177824,64958,56833,46347,19917,13852,4910,24014,8870,40836,92515,89112,85595,29310,25137,20226,7840,12429,4105,22196,8312,39154,98368,95192,92229,35648,31696,26121,12077
541918,0500000US39153,"Summit County, Ohio",63002,20397,113126,46387,202507,443156,428792,409447,137357,121669,97467,40934,32344,10101,57449,23574,101294,212610,205906,196626,61891,54851,42969,16337,30658,10296,55677,22813,101213,230546,222886,212821,75466,66818,54498,24597
71604,0500000US40037,"Creek County, Oklahoma",9589,2928,17062,5515,25902,56524,54542,51665,16957,15310,12424,5129,4946,1485,8791,2921,13167,27665,26582,24959,7859,7088,5555,2165,4643,1443,8271,2594,12735,28859,27960,26706,9098,8222,6869,2964
379611,0500000US41039,"Lane County, Oregon",40002,11587,69901,47610,155204,317579,309710,289321,100037,88863,73700,28669,20241,6203,36126,24104,78756,155013,150764,140697,45141,40940,34166,12574,19761,5384,33775,23506,76448,162566,158946,148624,54896,47923,39534,16095
102811,0500000US42001,"Adams County, Pennsylvania",11934,3689,21167,9245,34828,83856,81644,76479,28105,25272,20634,8794,6484,1904,11032,4738,17526,40748,39569,36868,13144,11728,9333,3778,5450,1785,10135,4507,17302,43108,42075,39611,14961,13544,11301,5016
251423,0500000US42041,"Cumberland County, Pennsylvania",28638,8617,50809,25790,95805,206170,200614,189325,62998,56923,46768,20262,14474,4438,26300,12537,49143,101053,98161,92814,27931,24934,20213,8278,14164,4179,24509,13253,46662,105117,102453,96511,35067,31989,26555,11984
364286,0500000US47065,"Hamilton County, Tennessee",42404,12629,75764,32471,141902,297020,288522,274004,88656,79379,63597,26529,21852,6433,38859,16032,69800,140361,136569,129433,39274,34746,27524,10288,20552,6196,36905,16439,72102,156659,151953,144571,49382,44633,36073,16241
128607,0500000US47179,"Washington County, Tennessee",14074,4032,24055,15777,50995,107473,104552,98334,31895,28575,23505,9895,6732,2221,12392,7811,25678,51947,50597,47815,13922,12520,10521,4058,7342,1811,11663,7966,25317,55526,53955,50519,17973,16055,12984,5837
127068,0500000US49005,"Cache County, Utah",21485,6163,38648,23524,62460,92518,88420,80385,16445,14376,11531,4838,10774,3233,19556,11317,31606,46185,44080,40235,8115,6933,5473,2193,10711,2930,19092,12207,30854,46333,44340,40150,8330,7443,6058,2645
108987,0500000US53015,"Cowlitz County, Washington",13816,4550,25393,8150,38606,86221,83594,80292,29096,26140,20856,8207,6810,2329,12666,3983,19103,42289,40927,39008,13701,12369,9759,3661,7006,2221,12727,4167,19503,43932,42667,41284,15395,13771,11097,4546
74254,0500000US54081,"Raleigh County, West Virginia",9239,2646,15716,5826,27073,60664,58538,55519,21307,19050,15492,6115,4682,1378,8191,3282,14354,30280,29239,27490,9992,8611,7038,2378,4557,1268,7525,2544,12719,30384,29299,28029,11315,10439,8454,3737
82114,0500000US72013,"Arecibo Municipio, Puerto Rico",8463,3097,14800,7718,30558,69525,67314,64642,23451,20940,17976,8325,4297,1674,7665,3997,15285,32576,31530,30150,10259,9055,7679,3447,4166,1423,7135,3721,15273,36949,35784,34492,13192,11885,10297,4878
119089,0500000US01103,"Morgan County, Alabama",15448,4709,27098,10615,43871,95485,91991,87590,28985,25752,20464,8414,8209,2752,14815,5768,22425,46536,44401,41989,12815,10890,8649,3412,7239,1957,12283,4847,21446,48949,47590,45601,16170,14862,11815,5002
151366,0500000US06031,"Kings County, California",23491,6292,40773,16290,69473,114798,110593,103531,20951,19049,15413,6662,12150,3217,20914,9752,41230,64662,62677,58614,9771,8846,7012,2773,11341,3075,19859,6538,28243,50136,47916,44917,11180,10203,8401,3889
180040,0500000US06089,"Shasta County, California",22189,6462,38584,14455,63525,145037,141456,135347,50818,45457,37027,15546,11381,3304,19980,7557,32017,70757,68699,65322,23764,20666,16941,6703,10808,3158,18604,6898,31508,74280,72757,70025,27054,24791,20086,8843
292502,0500000US12073,"Leon County, Florida",30279,8980,54454,62709,146771,244172,238048,206904,55739,48577,38914,14696,14947,4680,27578,29353,70083,114286,110830,96087,24868,21150,17206,6133,15332,4300,26876,33356,76688,129886,127218,110817,30871,27427,21708,8563
975280,0500000US12103,"Pinellas County, Florida",87884,27396,157685,63507,316374,836293,817595,792929,321328,287552,241848,111761,44684,13998,80425,31577,156967,397225,387342,375130,145587,129501,107554,47287,43200,13398,77260,31930,159407,439068,430253,417799,175741,158051,134294,64474
127915,0500000US17093,"Kendall County, Illinois",22673,4865,36412,11850,53603,93743,91503,84264,19686,17027,13493,5636,10493,2367,17787,6025,26446,45377,44614,40547,9410,8146,6145,2311,12180,2498,18625,5825,27157,48366,46889,43717,10276,8881,7348,3325
103923,0500000US26017,"Bay County, Michigan",11642,4306,21083,8265,36588,86290,82840,78324,29916,25790,20857,9036,5631,2069,10538,4212,18554,42443,40753,38653,13792,11526,9439,3669,6011,2237,10545,4053,18034,43847,42087,39671,16124,14264,11418,5367
75448,0500000US26159,"Van Buren County, Michigan",9601,3305,17288,6178,25916,60355,58160,55101,19265,17711,14089,5592,5014,1756,9092,3031,13304,29971,28713,26911,8983,8306,6455,2322,4587,1549,8196,3147,12612,30384,29447,28190,10282,9405,7634,3270
465735,0500000US32031,"Washoe County, Nevada",56665,16579,100775,41473,185057,376391,364960,346714,109326,97240,76172,27842,29230,8486,51832,21138,94852,188262,182822,173738,53133,46725,36401,13019,27435,8093,48943,20335,90205,188129,182138,172976,56193,50515,39771,14823
151132,0500000US33013,"Merrimack County, New Hampshire",16593,5285,28595,13757,55344,125929,122537,116301,39911,34180,28423,11421,7908,2513,13807,6948,28386,61576,60205,57121,17982,15951,12584,4645,8685,2772,14788,6809,26958,64353,62332,59180,21929,18229,15839,6776
155782,0500000US39045,"Fairfield County, Ohio",20491,7259,37178,13181,58590,123258,118604,113005,34397,29966,24675,9985,10668,3716,19133,7189,30356,61187,58818,55595,15414,13103,11061,4213,9823,3543,18045,5992,28234,62071,59786,57410,18983,16863,13614,5772
138159,0500000US45041,"Florence County, South Carolina",18716,5327,32696,12057,51811,109261,105463,100370,32156,28290,23398,9087,9208,2760,16185,5454,23767,49127,47371,45333,14083,12831,9887,3482,9508,2567,16511,6603,28044,60134,58092,55037,18073,15459,13511,5605
87092,0500000US48005,"Angelina County, Texas",12724,3671,22101,7786,32065,67221,64991,61120,19192,17440,13896,6072,6532,2054,11958,4260,15869,32313,31039,29055,9396,8420,6159,2356,6192,1617,10143,3526,16196,34908,33952,32065,9796,9020,7737,3716
128206,0500000US53057,"Skagit County, Washington",15544,4624,27977,8635,46204,103110,100229,96808,35896,32008,26616,10840,7921,1952,14029,4625,23120,50485,49033,46892,17008,14450,12153,4636,7623,2672,13948,4010,23084,52625,51196,49916,18888,17558,14463,6204
286419,0500000US53067,"Thurston County, Washington",34516,10352,61381,22307,113459,232674,225038,215347,68690,60442,49236,17819,17556,4830,31231,11373,56442,112288,108426,103391,30789,27358,22108,7392,16960,5522,30150,10934,57017,120386,116612,111956,37901,33084,27128,10427
180454,0500000US54039,"Kanawha County, West Virginia",19499,6245,35252,13406,63707,149196,145202,140040,50946,46861,37659,15634,10108,3245,18421,6871,31666,70830,68612,66010,22661,20538,15855,5949,9391,3000,16831,6535,32041,78366,76590,74030,28285,26323,21804,9685
542364,0500000US55025,"Dane County, Wisconsin",61893,18388,110871,71949,248661,444373,431493,403435,104990,91293,74937,29457,31542,8859,56083,35853,126556,218919,212892,198905,47932,41587,33542,12065,30351,9529,54788,36096,122105,225454,218601,204530,57058,49706,41395,17392
413757,0500000US01097,"Mobile County, Alabama",53110,16973,96777,36769,161345,328844,316980,302356,92616,80413,66558,27185,27397,8505,49296,18388,78056,153642,147713,139470,40934,34700,28348,10447,25713,8468,47481,18381,83289,175202,169267,162886,51682,45713,38210,16738
1150215,0500000US06013,"Contra Costa County, California",148186,47120,259788,93356,442714,921374,890427,852577,253902,222905,181267,74909,75796,24265,133128,47923,222008,445830,429855,410079,114568,100311,79598,30974,72390,22855,126660,45433,220706,475544,460572,442498,139334,122594,101669,43935
359977,0500000US12083,"Marion County, Florida",37093,11349,65788,26487,109201,302081,294189,282145,129048,120229,104024,48290,19104,5196,32524,14532,54108,142104,138829,132776,59627,55611,47785,22346,17989,6153,33264,11955,55093,159977,155360,149369,69421,64618,56239,25944
207269,0500000US12091,"Okaloosa County, Florida",26341,6207,46397,18666,81984,165566,160872,153043,46296,40735,34105,13384,12941,3104,23239,11466,44465,83662,81075,76121,20969,18786,15613,5803,13400,3103,23158,7200,37519,81904,79797,76922,25327,21949,18492,7581
467832,0500000US12117,"Seminole County, Florida",55643,18049,98391,38639,190075,381304,369441,354027,103082,88933,72734,29912,28046,8888,49907,19981,94053,182371,176048,168735,46361,39297,31386,12026,27597,9161,48484,18658,96022,198933,193393,185292,56721,49636,41348,17886
154291,0500000US13073,"Columbia County, Georgia",23028,6481,39146,13976,60999,119501,115145,107713,30197,25754,21329,7195,11404,3398,19419,7775,31015,58339,55686,50578,13619,11777,9807,2971,11624,3083,19727,6201,29984,61162,59459,57135,16578,13977,11522,4224
91243,0500000US13095,"Dougherty County, Georgia",12094,3310,21221,13454,38823,72097,70022,63867,19136,16467,13899,5618,6049,1637,11059,5943,17621,32090,30978,27708,8416,7119,5700,2067,6045,1673,10162,7511,21202,40007,39044,36159,10720,9348,8199,3551
230220,0500000US13151,"Henry County, Georgia",34146,11607,58951,21944,94303,179510,171269,163347,39004,33098,26256,9457,17450,5531,30024,10768,43682,83764,79264,74594,16766,14579,11510,4022,16696,6076,28927,11176,50621,95746,92005,88753,22238,18519,14746,5435
155469,0500000US13153,"Houston County, Georgia",22846,6387,38789,12665,63024,121401,116680,110859,27113,22893,18359,7104,11611,3799,20299,6609,32257,60012,57241,54623,10745,9233,7476,2598,11235,2588,18490,6056,30767,61389,59439,56236,16368,13660,10883,4506
76806,0500000US17183,"Vermilion County, Illinois",9831,2941,18046,6417,26732,60826,58760,55964,19695,17802,15156,6876,4946,1406,9063,3275,13893,30384,29252,27681,9344,8274,6929,3088,4885,1535,8983,3142,12839,30442,29508,28283,10351,9528,8227,3788
692310,0500000US17197,"Will County, Illinois",97979,33313,171783,63554,272595,541119,520527,492077,132395,112536,90429,35415,50098,17179,87793,33241,138375,267336,256192,240835,62288,50972,40372,14381,47881,16134,83990,30313,134220,273783,264335,251242,70107,61564,50057,21034
270771,0500000US18141,"St. Joseph County, Indiana",35744,10802,64262,29035,107476,213187,206509,191486,61059,53125,43160,18353,18216,5605,32612,14118,53458,102926,99192,92204,27291,23508,18968,7059,17528,5197,31650,14917,54018,110261,107317,99282,33768,29617,24192,11294
173283,0500000US19163,"Scott County, Iowa",23294,6479,41322,14544,65736,136226,131961,125021,39142,34322,27591,11635,11522,3447,21114,7068,32965,66500,63979,60360,17789,15223,12044,4480,11772,3032,20208,7476,32771,69726,67982,64661,21353,19099,15547,7155
151096,0500000US23019,"Penobscot County, Maine",14996,4981,26744,16283,58557,127364,124352,117123,39016,33882,27761,11556,7742,2523,13763,8764,29912,62850,61337,57433,18765,15794,12598,4817,7254,2458,12981,7519,28645,64514,63015,59690,20251,18088,15163,6739
83209,0500000US26111,"Midland County, Michigan",10237,3156,18229,6611,29662,67552,64980,62351,21712,19060,15539,6869,4995,1606,9104,3544,14959,32779,31533,30002,9602,8265,6698,2787,5242,1550,9125,3067,14703,34773,33447,32349,12110,10795,8841,4082
150439,0500000US26115,"Monroe County, Michigan",18240,6116,32182,11895,53246,122210,118257,113112,37931,33635,27543,11472,9451,3117,16444,6102,27683,59999,57979,55321,17071,15075,12295,4517,8789,2999,15738,5793,25563,62211,60278,57791,20860,18560,15248,6955
159256,0500000US27145,"Stearns County, Minnesota",20640,5868,36702,23823,66979,126432,122554,110478,33166,29454,23995,10646,10491,3003,18753,12039,34800,63388,61386,55208,15870,13865,11034,4573,10149,2865,17949,11784,32179,63044,61168,55270,17296,15589,12961,6073
76456,0500000US35061,"Valencia County, New Mexico",10388,2918,17895,6243,28956,60710,58561,55686,19703,17077,13675,5431,5912,1747,9994,3221,15057,30575,29140,27389,8999,7495,6416,2402,4476,1171,7901,3022,13899,30135,29421,28297,10704,9582,7259,3029
95796,0500000US36101,"Steuben County, New York",11721,3604,20389,7276,33168,78099,75407,72378,25936,22620,18663,7853,5984,1924,10604,3870,17539,39348,37819,36271,12422,10906,8679,3327,5737,1680,9785,3406,15629,38751,37588,36107,13514,11714,9984,4526
178435,0500000US37097,"Iredell County, North Carolina",23701,7421,41060,13897,65928,142536,137375,130805,38571,34649,27867,11126,11907,3358,20452,7256,33016,69224,66932,63397,17667,15767,12474,4559,11794,4063,20608,6641,32912,73312,70443,67408,20904,18882,15393,6567
181516,0500000US38017,"Cass County, North Dakota",22665,5035,40853,25258,86586,143997,140663,130891,32467,27616,21599,9272,12520,2568,21744,13032,45350,73330,71411,65519,14596,12550,9833,3753,10145,2467,19109,12226,41236,70667,69252,65372,17871,15066,11766,5519
67744,0500000US38101,"Ward County, North Dakota",9000,2197,15949,8633,31995,53531,51795,49093,11673,10422,8462,3900,4718,1221,8526,5229,18035,28474,27497,25859,5556,4897,3948,1595,4282,976,7423,3404,13960,25057,24298,23234,6117,5525,4514,2305
811880,0500000US41051,"Multnomah County, Oregon",84219,24024,152900,63702,374376,674392,658980,633973,151776,134840,108862,40441,42914,12721,78846,31943,187983,332091,323816,312230,69823,60866,47994,15923,41305,11303,74054,31759,186393,342301,335164,321743,81953,73974,60868,24518
131730,0500000US42021,"Cambria County, Pennsylvania",14089,4675,25226,11907,44156,109575,106504,101148,40498,35865,29664,13425,7257,2248,12802,5991,22336,53778,52263,49754,18453,15975,12964,5142,6832,2427,12424,5916,21820,55797,54241,51394,22045,19890,16700,8283
132064,0500000US48485,"Wichita County, Texas",16557,4644,29552,18294,58455,105734,102512,93334,26659,23973,19162,8351,8398,1726,14277,10959,32141,54485,53096,47563,12257,10514,8212,3267,8159,2918,15275,7335,26314,51249,49416,45771,14402,13459,10950,5084
75457,0500000US51015,"Augusta County, Virginia",8499,2414,14362,5153,25435,62717,61095,58721,22335,19348,16099,6857,4324,1247,7249,2813,13999,32088,31192,30411,10932,9423,7313,2935,4175,1167,7113,2340,11436,30629,29903,28310,11403,9925,8786,3922
242634,0500000US51550,"Chesapeake city, Virginia",33274,9853,58199,20997,98805,189761,184435,174674,46358,39643,32045,12409,16760,4934,29036,10704,49400,91931,89348,84574,20700,17124,13891,5046,16514,4919,29163,10293,49405,97830,95087,90100,25658,22519,18154,7363
99920,0500000US51770,"Roanoke city, Virginia",11715,3203,22229,7522,39973,79177,77691,74815,23748,20920,16905,6453,6006,1561,11792,3638,18811,36289,35687,34422,9252,8199,6596,2363,5709,1642,10437,3884,21162,42888,42004,40393,14496,12721,10309,4090
93224,0500000US54011,"Cabell County, West Virginia",10436,3090,18444,12421,38284,76498,74780,69636,22698,20062,16984,7167,5406,1663,9385,5675,18880,36557,35533,33456,10094,8781,7385,2876,5030,1427,9059,6746,19404,39941,39247,36180,12604,11281,9599,4291
73055,0500000US55141,"Wood County, Wisconsin",8580,2853,15666,5189,24604,59152,57389,54783,20220,18315,14940,6765,4367,1302,7802,2698,12677,29448,28540,27286,9261,8495,6828,2828,4213,1551,7864,2491,11927,29704,28849,27497,10959,9820,8112,3937
83787,0500000US72061,"Guaynabo Municipio, Puerto Rico",7631,2758,13345,7240,30835,72581,70442,68055,25313,22276,18832,8992,3902,1895,7558,3854,16180,34036,32616,31392,10806,9126,7795,3482,3729,863,5787,3386,14655,38545,37826,36663,14507,13150,11037,5510
96174,0500000US01083,"Limestone County, Alabama",13965,4136,22441,6767,37137,76535,73733,69443,20633,17622,15095,6029,7424,1998,12403,3067,19086,38254,36795,34773,9234,7934,6814,2739,6541,2138,10038,3700,18051,38281,36938,34670,11399,9688,8281,3290
99154,0500000US05051,"Garland County, Arkansas",10719,3618,19787,7875,33630,81395,79367,75100,31751,28063,22991,10304,5695,1587,9513,3969,16383,38811,37585,35362,14567,12599,10248,4475,5024,2031,10274,3906,17247,42584,41782,39738,17184,15464,12743,5829
350518,0500000US08069,"Larimer County, Colorado",38500,12193,68998,48844,156559,288748,281520,260362,77279,67584,55002,20747,19309,6538,34824,24396,80564,143248,139260,128428,36110,31311,25162,8802,19191,5655,34174,24448,75995,145500,142260,131934,41169,36273,29840,11945
112067,0500000US12035,"Flagler County, Florida",11087,3701,19130,6544,31409,94950,92937,89863,43227,40309,35344,16229,6150,1576,9349,3497,15426,44769,44174,42536,20553,19419,17111,7976,4937,2125,9781,3047,15983,50181,48763,47327,22674,20890,18233,8253
284081,0500000US17201,"Winnebago County, Illinois",36954,11318,66289,23444,104204,225316,217792,207719,70425,60932,49568,21098,19100,5712,33973,11778,51815,108364,104936,100067,32785,27976,21922,8621,17854,5606,32316,11666,52389,116952,112856,107652,37640,32956,27646,12477
253956,0500000US24025,"Harford County, Maryland",31749,10134,56172,22004,93568,204316,197784,189244,60001,52075,42005,17091,16153,5520,29010,11232,47309,98936,95159,90156,26772,23082,18058,6545,15596,4614,27162,10772,46259,105380,102625,99088,33229,28993,23947,10546
111876,0500000US30031,"Gallatin County, Montana",13119,3815,22863,17217,54169,91778,89013,81781,21230,18026,14428,5184,7018,1900,11820,9599,28962,47357,45992,41710,10263,8512,6909,2423,6101,1915,11043,7618,25207,44421,43021,40071,10967,9514,7519,2761
90690,0500000US37157,"Rockingham County, North Carolina",11693,3382,18386,6920,30873,74874,72304,68768,26012,23498,18633,7882,6607,1768,9986,3221,14872,35313,33971,32409,11607,10363,8171,3207,5086,1614,8400,3699,16001,39561,38333,36359,14405,13135,10462,4675
198627,0500000US39155,"Trumbull County, Ohio",22253,7367,40677,14698,66847,162586,157950,151835,57963,51637,43149,18429,11301,3686,20828,7553,34271,77801,75771,72720,25991,22808,18822,7383,10952,3681,19849,7145,32576,84785,82179,79115,31972,28829,24327,11046
187888,0500000US42019,"Butler County, Pennsylvania",21412,6626,37515,16241,66240,155022,150373,142741,51254,44600,34949,15180,11043,3447,19368,8127,33847,76252,73670,70092,24348,20717,15744,6184,10369,3179,18147,8114,32393,78770,76703,72649,26906,23883,19205,8996
272061,0500000US42049,"Erie County, Pennsylvania",32743,10453,58107,26604,103475,221307,213954,201008,67077,60370,48926,20911,16610,5660,29078,14164,52967,108519,104586,97749,30496,27696,21997,8561,16133,4793,29029,12440,50508,112788,109368,103259,36581,32674,26929,12350
317646,0500000US42079,"Luzerne County, Pennsylvania",35169,11349,62768,27460,115318,262246,254878,241387,86259,76476,63359,28062,17879,5771,31610,14338,60058,128839,125135,118123,39059,34117,27276,10667,17290,5578,31158,13122,55260,133407,129743,123264,47200,42359,36083,17395
65592,0500000US45055,"Kershaw County, South Carolina",8400,2851,15115,5584,22316,52638,50477,48269,16382,14850,11928,4512,4820,1224,8735,3116,10893,24901,24071,22712,7813,6747,5207,1841,3580,1627,6380,2468,11423,27737,26406,25557,8569,8103,6721,2671
406850,0500000US51107,"Loudoun County, Virginia",66684,19362,114958,29967,167278,305449,291892,280135,56737,47598,37721,14792,34102,9878,58570,15323,82449,150319,143081,136995,25168,20972,16700,6211,32582,9484,56388,14644,84829,155130,148811,143140,31569,26626,21021,8581
71094,0500000US72135,"Toa Alta Municipio, Puerto Rico",8422,2955,14081,7378,29675,59103,57013,54590,13874,12265,10310,4215,4243,1522,7505,3683,14464,N,26916,25841,5954,5175,4653,1796,4179,1433,6576,3695,15211,N,30097,28749,7920,7090,5657,2419
659300,0500000US01073,"Jefferson County, Alabama",83320,24478,149547,57830,262184,527740,509753,483902,150188,131563,104700,42724,42728,12699,76381,28324,127550,244704,235778,222541,63722,55487,43526,15728,40592,11779,73166,29506,134634,283036,273975,261361,86466,76076,61174,26996
4410824,0500000US04013,"Maricopa County, Arizona",594265,179036,1052785,408381,1805262,3478309,3358039,3183456,918193,815127,669199,281070,302946,91655,537712,209682,916440,1703953,1644262,1555401,419848,370193,301634,122620,291319,87381,515073,198699,888822,1774356,1713777,1628055,498345,444934,367565,158450
68114,0500000US05069,"Jefferson County, Arkansas",8239,2540,14884,7044,26393,55309,53230,49564,16976,14620,11671,4689,4031,1077,7209,3515,13604,27208,26231,24649,7723,6377,5071,1819,4208,1463,7675,3529,12789,28101,26999,24915,9253,8243,6600,2870
78727,0500000US05145,"White County, Arkansas",9665,3957,18295,9992,32196,63038,60432,54640,16644,14390,12307,5252,5117,2309,9817,5360,16047,29603,28293,24839,7140,6245,5393,2122,4548,1648,8478,4632,16149,33435,32139,29801,9504,8145,6914,3130
284010,0500000US06079,"San Luis Obispo County, California",27705,8757,49675,44256,116493,240351,234335,214776,77677,70096,57594,22171,14284,4330,25467,23516,62135,121474,118287,108676,36813,33364,26764,9777,13421,4427,24208,20740,54358,118877,116048,106100,40864,36732,30830,12394
69267,0500000US08014,"Broomfield County, Colorado",8780,3326,15867,4128,29016,55648,53400,52097,12749,11698,9618,3894,4381,1652,8028,2232,15011,N,26682,26017,5690,5057,4156,1673,4399,1674,7839,1896,14005,N,26718,26080,7059,6641,5462,2221
857620,0500000US09009,"New Haven County, Connecticut",97405,31920,173312,85361,332874,705905,684308,643144,209557,183084,148789,65639,49646,16361,88522,42669,165143,335502,324421,303939,91426,79529,63580,25565,47759,15559,84790,42692,167731,370403,359887,339205,118131,103555,85209,40074
157413,0500000US12061,"Indian River County, Florida",13856,3467,25217,8532,40749,133911,132196,128217,67498,61325,51384,24124,8202,1984,14327,4124,19464,63069,62214,60821,30121,27993,23656,11285,5654,1483,10890,4408,21285,70842,69982,67396,37377,33332,27728,12839
153095,0500000US13021,"Bibb County, Georgia",21424,6260,37623,15534,60637,120473,115472,108406,34017,30739,23974,9704,11391,3712,20014,7361,29678,55647,52983,49731,14589,12834,9966,3540,10033,2548,17609,8173,30959,64826,62489,58675,19428,17905,14008,6164
756558,0500000US13089,"DeKalb County, Georgia",96112,26718,175679,63455,325467,598255,580879,558221,137985,120100,93989,33760,49006,13107,88535,30474,155914,276767,268408,257342,57075,49336,38531,12725,47106,13611,87144,32981,169553,321488,312471,300879,80910,70764,55458,21035
85219,0500000US13127,"Glynn County, Georgia",10783,3236,18678,7183,31901,68320,66541,63692,22790,20212,16955,6478,4784,1824,8522,3257,15327,30761,30256,29122,10144,9334,7505,2797,5999,1412,10156,3926,16574,37559,36285,34570,12646,10878,9450,3681
469966,0500000US16001,"Ada County, Idaho",64070,20775,111023,41090,195351,371124,358943,340162,93661,84053,67476,25819,31928,11480,57949,20954,99893,183704,177947,169095,44237,39217,30758,10996,32142,9295,53074,20136,95458,187420,180996,171067,49424,44836,36718,14823
308570,0500000US17111,"McHenry County, Illinois",41634,14114,72282,25109,113318,245554,236288,226235,65093,55641,44617,16900,21556,7342,37560,13208,57540,121263,116397,111193,30172,25670,20178,7182,20078,6772,34722,11901,55778,124291,119891,115042,34921,29971,24439,9718
132328,0500000US17179,"Tazewell County, Illinois",16684,5057,29733,9649,47648,105975,102595,98857,34926,30844,25258,11158,8191,2604,15147,4938,24398,51699,49859,48032,15848,13745,11184,4643,8493,2453,14586,4711,23250,54276,52736,50825,19078,17099,14074,6515
65936,0500000US18053,"Grant County, Indiana",7585,2172,13607,8141,24285,54145,52329,48612,17037,15406,12533,5875,3687,1068,6591,3704,11631,25414,24623,22845,7533,6774,5505,2311,3898,1104,7016,4437,12654,28731,27706,25767,9504,8632,7028,3564
156225,0500000US18081,"Johnson County, Indiana",23464,6294,39191,13880,60978,120858,117034,111878,31561,27270,22720,9275,12175,3036,20017,7190,30248,58154,56104,53776,13613,11959,9936,3740,11289,3258,19174,6690,30730,62704,60930,58102,17948,15311,12784,5535
151260,0500000US19103,"Johnson County, Iowa",17195,4373,30182,32740,78391,123730,121078,108399,25643,22936,17571,7026,9619,2318,16449,15925,39957,60623,59229,53225,11202,10216,7578,2713,7576,2055,13733,16815,38434,63107,61849,55174,14441,12720,9993,4313
874759,0500000US26099,"Macomb County, Michigan",101893,34470,184009,71378,328364,713650,690750,663053,210417,183844,149007,63952,52141,17552,93978,36531,164539,343354,331745,317300,95004,81764,64738,25111,49752,16918,90031,34847,163825,370296,359005,345753,115413,102080,84269,38841
