location_id,location_county,location_state,location_name,wealth_status,employment_status,phoneownership_rate,worktravel_baseline,worktravel_variance,socialtravel_baseline,socialtravel_variance,grocerytravel_baseline,grocerytravel_variance
0500000US21093,Hardin County,Kentucky,"Hardin County, Kentucky",0,0,0.730308737635439,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US21093,Hardin County,Kentucky,"Hardin County, Kentucky",0,1,0.730308737635439,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US21093,Hardin County,Kentucky,"Hardin County, Kentucky",1,0,0.9093234674062493,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US21093,Hardin County,Kentucky,"Hardin County, Kentucky",1,1,0.9093234674062493,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US21151,Madison County,Kentucky,"Madison County, Kentucky",0,0,0.728441931739546,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US21151,Madison County,Kentucky,"Madison County, Kentucky",0,1,0.728441931739546,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US21151,Madison County,Kentucky,"Madison County, Kentucky",1,0,0.9115988486940921,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US21151,Madison County,Kentucky,"Madison County, Kentucky",1,1,0.9115988486940921,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US17091,Kankakee County,Illinois,"Kankakee County, Illinois",0,0,0.7025148584007466,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US17091,Kankakee County,Illinois,"Kankakee County, Illinois",0,1,0.7025148584007466,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US17091,Kankakee County,Illinois,"Kankakee County, Illinois",1,0,0.8825902016802575,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US17091,Kankakee County,Illinois,"Kankakee County, Illinois",1,1,0.8825902016802575,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US17197,Will County,Illinois,"Will County, Illinois",0,0,0.7519646334202615,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US17197,Will County,Illinois,"Will County, Illinois",0,1,0.7519646334202615,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US17197,Will County,Illinois,"Will County, Illinois",1,0,0.9371159400237925,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US17197,Will County,Illinois,"Will County, Illinois",1,1,0.9371159400237925,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01051,Elmore County,Alabama,"Elmore County, Alabama",0,0,0.7196081058857684,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01051,Elmore County,Alabama,"Elmore County, Alabama",0,1,0.7196081058857684,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01051,Elmore County,Alabama,"Elmore County, Alabama",1,0,0.9007756905943481,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01051,Elmore County,Alabama,"Elmore County, Alabama",1,1,0.9007756905943481,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01055,Etowah County,Alabama,"Etowah County, Alabama",0,0,0.7146794246216781,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01055,Etowah County,Alabama,"Etowah County, Alabama",0,1,0.7146794246216781,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01055,Etowah County,Alabama,"Etowah County, Alabama",1,0,0.8934771752692869,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01055,Etowah County,Alabama,"Etowah County, Alabama",1,1,0.8934771752692869,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01089,Madison County,Alabama,"Madison County, Alabama",0,0,0.7543699233642541,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01089,Madison County,Alabama,"Madison County, Alabama",0,1,0.7543699233642541,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01089,Madison County,Alabama,"Madison County, Alabama",1,0,0.9469291224478976,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01089,Madison County,Alabama,"Madison County, Alabama",1,1,0.9469291224478976,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01117,Shelby County,Alabama,"Shelby County, Alabama",0,0,0.7780360971248658,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01117,Shelby County,Alabama,"Shelby County, Alabama",0,1,0.7780360971248658,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US01117,Shelby County,Alabama,"Shelby County, Alabama",1,0,0.9735747182802944,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US01117,Shelby County,Alabama,"Shelby County, Alabama",1,1,0.9735747182802944,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
0500000US06001,Alameda County,California,"Alameda County, California",0,0,0.7561103844546834,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US06001,Alameda County,California,"Alameda County, California",0,1,0.7561103844546834,22.20609827092134,53.32719975515407,19.466365457410117,51.60317016721971,14.129961989216996,43.37822371185904
0500000US06001,Alameda County,California,"Alameda County, California",1,0,0.9558011257942803,24.959807685236285,36.31413208025685,20.90694216351306,62.22575171134548,16.57011795703283,57.67050250591144
